date,code,name,nominal,rate_rub,prev_rate_rub,change_abs,change_pct
2026-05-19,GBP,Фунт стерлингов,1,96.5507,98.6124,-2.0617,-2.09
2026-05-19,CHF,Швейцарский франк,1,92.1887,93.0612,-0.8725,-0.94
2026-05-19,EUR,Евро,1,84.0742,85.183,-1.1088,-1.3
2026-05-19,USD,Доллар США,1,72.3497,73.1275,-0.7778,-1.06
2026-05-19,BYN,Белорусский рубль,1,26.3348,26.558,-0.2232,-0.84
2026-05-19,AED,Дирхам ОАЭ,1,19.7004,19.9122,-0.2118,-1.06
2026-05-19,CNY,Юань,1,10.6279,10.7318,-0.1039,-0.97
2026-05-19,TRY,Турецких лир,10,1.5926,1.6111,-0.0185,-1.15
2026-05-19,JPY,Иен,100,0.4552,0.4614,-0.0062,-1.34
2026-05-19,KZT,Тенге,100,0.1539,0.1543,-0.0004,-0.26
